ID,TypeOfTouch,OthTouchType,InterPartner,OtherIntPartner,Initiative,IntLabl,Intention,PercLabl,Perception,Relation2Partner,Roughness,Pleasantness,Intensity,Comfortable,Duration,Appropriate,Humidity,HumApplic,Velocity,VeloApplic,Expectation,LocLabl,Location,ComplDiffTask,NewSensation,SenseOfContact,BecomeSelf,StructPredict,OtherSeekAdvice,TrueInterest,PosQualities,CloseConnect,PhysPleasure,EnoughExercise,MasterChal,DeepPurpose,RoutinesHabits,SelfRespect,Influence,BodyNeeded,Freedom,SatisfiedSelf,SourceOfStimuli,Safe,WellBeing,Capable,TrueSelf,Awe,StrongImpact,StrongIntimacy,Interested,Distressed,Excited,Upset,Strong,Guilty,Scared,Hostile,Enthusiastic,Proud,Irritable,Alert,Ashamed,Inspired,Nervous,Determined,Attentive,Jittery,Active,Afraid,Age,Gender,GenderType,ElapsedTime,Condition,GrandNeedMean,Autonomy,Competence,Relatedness,SelfActualization,PhysicalThriving,PleasureStimulation,Security,SelfEsteem,Popularity,PositiveAff,NegativeAff,CompositeAff
19669817,1,NA,2,NA,2,Friendly,Friendly,NA,NA,4,4,5,4,4,5,3,9,NA,NA,1,NA,Home,Living room,1,1,4,1,1,2,4,4,4,1,1,1,1,3,3,2,2,2,2,1,2,2,2,2,1,1,1,3,1,1,1,2,1,1,1,3,2,1,1,1,1,1,1,2,1,1,1,36,2,NA,4,A,1.925925926,2.666666667,1.333333333,3,1,1.666666667,1,2,3,1.666666667,1.7,1,0.7
19669841,1,NA,1,NA,3,Comfort,To comfort me.,NA,NA,6,9,9,10,8,2,1,NA,1,0,NA,NA,Home,Sitting in the living room of my house.,1,2,5,1,1,1,2,1,2,5,1,1,2,1,1,1,4,2,1,1,4,3,1,1,1,1,4,4,4,1,5,1,1,3,1,4,1,3,2,4,1,1,1,3,5,1,3,36,2,NA,3,A,1.888888889,1.666666667,1,3.666666667,1.333333333,2.666666667,2.666666667,2,1,1,1.9,3,-1.1
19670115,1,NA,2,NA,3,Affection,Affection,NA,NA,6,8,10,10,10,7,1,NA,1,3,NA,NA,Home,Standing in the kitchen leaning against the sink,4,2,5,4,3,4,3,5,5,2,2,1,5,4,5,4,5,4,5,1,5,5,4,4,5,5,5,4,1,1,1,3,1,1,1,4,5,1,1,1,4,1,3,5,1,2,1,50,2,NA,8,A,3.925925926,3.666666667,3,5,4.666666667,4,1.666666667,4,5,4.333333333,3.2,1,2.2
19670164,1,NA,2,NA,3,Comfort,To make me feel less lonely,NA,NA,6,8,8,8,9,3,2,NA,1,NA,1,NA,Home,Standing in my bedroom,4,4,5,2,2,3,4,4,5,4,1,4,2,2,4,2,5,3,3,2,4,3,4,2,3,4,4,2,1,4,2,4,4,1,1,3,4,1,2,3,2,2,3,2,2,2,1,21,2,NA,10,A,3.296296296,3,4,4.666666667,2.333333333,3,3.333333333,2.666666667,3.666666667,3,2.8,1.8,1
19670268,1,NA,1,NA,2,Comfort,"For comfort and to just ""feel"" my partner",NA,NA,6,7,10,6,10,1,1,5,NA,7,NA,NA,Home,"We were at home and my partner was cooking, it was just a nice gesture to thank her for making a lovely meal",1,4,5,3,3,3,5,3,5,4,3,5,5,3,4,4,3,5,3,5,5,5,5,5,5,5,5,5,1,5,1,3,1,1,1,5,4,2,3,1,5,2,5,5,2,5,1,25,1,Male,14,A,4.111111111,5,3.666666667,5,4.333333333,3.666666667,4.333333333,3.666666667,3.333333333,4,4.5,1.3,3.2
19670422,1,NA,2,NA,1,Sympathy,To communicate my sympathy for the other person.,NA,NA,5,7,8,6,9,7,2,NA,1,6,NA,NA,Home,In my bedroom at home in a city.,4,2,5,1,3,5,5,4,5,3,4,2,4,3,4,4,5,4,4,2,4,4,4,4,3,5,4,5,2,1,2,4,2,2,1,4,4,1,5,1,2,2,4,5,1,4,2,20,2,NA,5,A,3.740740741,4.333333333,3.333333333,4.666666667,2.666666667,4.333333333,2.333333333,3.333333333,4,4.666666667,3.8,1.6,2.2
19670423,1,NA,1,NA,3,Comfort,Reassurance,NA,NA,6,10,10,10,10,1,1,NA,1,3,NA,NA,Home,In my lounge,1,2,5,1,1,1,1,3,5,5,1,3,2,3,1,2,5,2,2,1,5,5,4,4,1,1,5,2,2,1,2,1,1,2,1,1,1,3,1,1,1,2,1,2,3,2,2,28,1,NA,8,A,2.666666667,2.333333333,2.666666667,5,1.333333333,3.666666667,2.666666667,3,2,1.333333333,1.3,1.9,-0.6
19670591,1,NA,3,NA,2,Affection,To show affection,NA,NA,4,7,8,7,9,5,1,NA,1,3,NA,NA,Other's home,It occurred when I saw my friends at their house,3,2,4,3,1,3,4,3,3,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,3,1,3,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,2,1,24,1,NA,10,A,1.814814815,2.333333333,2,3,1.666666667,1,1.333333333,1.333333333,2,1.666666667,1.8,1,0.8
19670639,1,NA,2,NA,3,Support,To support,NA,NA,6,7,8,4,7,6,2,NA,1,NA,1,NA,Other's home,My mums house,4,2,5,3,2,2,3,3,4,2,2,3,2,2,3,2,4,3,3,2,4,3,3,3,1,2,4,4,2,2,2,3,1,1,1,3,3,1,4,1,4,2,3,5,2,3,2,28,2,NA,7,A,2.814814815,3,3.333333333,4.333333333,2,3,2,2.666666667,3,2,3.4,1.5,1.9
19670950,5,NA,4,NA,3,"Appreciation,Gratitude",Appreciate my participation,NA,NA,2,7,9,9,8,5,4,8,NA,6,NA,NA,Public building,At the end of small group discussion  in side a hospital seminar room,4,4,4,3,2,3,4,5,5,1,2,3,3,3,5,4,2,2,4,3,2,1,2,3,2,4,2,5,1,4,1,3,1,1,1,4,5,1,3,1,5,3,3,3,2,3,2,42,1,Male,12,A,3.037037037,3,3,3.666666667,2.666666667,1.666666667,2.666666667,2.333333333,4.666666667,3.666666667,3.8,1.4,2.4
21562922,1,NA,2,NA,3,Affection,Showing love,NA,It was spontaneous and done with love,6,7,10,7,10,8,10,NA,1,5,NA,3,Home,Sitting on the sofa,4,4,5,5,2,5,5,5,5,5,4,2,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,1,3,1,4,1,1,1,5,5,1,3,1,4,1,3,5,1,2,1,46,2,NA,4,A,4.592592593,5,3.666666667,5,5,4.666666667,4.333333333,4,4.666666667,5,3.9,1,2.9
