"AlternTouch","AlternPartnr","Intention","Perception","Location"
"All of the above","A first date with a guy, sort of acquaintance but a stranger","Friendly","It was spontaneous and done with love","Living room"
"Touch on my upper arm","one night stand","To comfort me.","Being present and noticing","Sitting in the living room of my house."
"Touching my partner's breasts","Child at the school where I work","Affection","Yes","Standing in the kitchen leaning against the sink"
"Cuddle / spooning","Was actually a member of staff at one of my children's schools","To make me feel less lonely","it was sincere with a genuine pleasure in seeing me","Standing in my bedroom"
"hand shake that fell into a hug","customer at work","For comfort and to just ""feel"" my partner","because the young family member chose to kiss my cheek to say goodnight","We were at home and my partner was cooking, it was just a nice gesture to thank her for making a lovely meal"
"Hand on the waist",NA,"To communicate my sympathy for the other person.","respect","In my bedroom at home in a city."
"Hands around throat",NA,"Reassurance","I was sad he was making me feel better","In my lounge"
"punch",NA,"To show affection","Got to see each other","It occurred when I saw my friends at their house"
"getting slapped",NA,"To support","Part of a happy moment","My mums house"
"Punch to arm",NA,"Appreciate my participation","because we love each other","At the end of small group discussion  in side a hospital seminar room"
"Punch",NA,"Showing love","Yes","Sitting on the sofa"
"Being barged past in a club",NA,"Closeness","Because I had missed him","At home. Mid way through changing our baby for bed"
"Several body touches & kisses, hopeful attempts to initiate sexual intercourse",NA,"Happy to see each other","It was comforting and what I needed in the moment as I didn't want to talk about it","At my home, seeing my grandchild after they had been away in holiday"
"Leg touching",NA,"greeting after long time no see","It was healing - it brought comfort","in a shop"
"Touched knees",NA,"to say goodnight","It felt comforting","in bed while reading bedtime story"
"acupuncture",NA,"We greeting each other like this","hug from child","He works on night Im on 2-10 at shift handover we always greeting each other like this"
"Hand on back",NA,"Comfort and love","The way we both needed that connection, was because of a upsetting nature, the hug helped.","In the morning in the kitchen standing up"
"Restraining an aggressive child",NA,"Happy to see each other","Because it followed an accomplishment and the hug expressed  the conclusion of a chapter in our lives","Standing in bedroom"
"Headlock",NA,"Greeting","Because I welcomed the affection","In a cafe"
"Hand on my upper arm. Gently squeezed.",NA,"to be nice to each other","yes","at home while cooking"
"hand on my waist",NA,"To show love","We haven't had the time recently to just hug for a little while","On the couch in our house"
"push",NA,"My partner had been away for work all week so it was a nice greeting","It made me feel better when I was ill","On the driveway outside our house"
"Squeeze",NA,"To comfort me","We had never met before in person and it was so good to finally see each other without a screen in front of us","Standing outside the car following a disagreement"
"touch on arm in conversation with stranger",NA,"Comfort","because it made me feel safe","At home, sat on the end of my bed."
NA,NA,"Greeting","Emotionally needed","Gŕeeting outside my house"
NA,NA,"hug","It was the first time friend had reached out to me in that way","just before bed time routine"
NA,NA,"Reassurance","Because it felt great","In the police station after an arrest"
NA,NA,"To express joy","I felt safe and comforted by my friend's hug","In the parking lot next to our car"
NA,NA,"Showing affection and flirting","Because it was a moment of peace and togetherness that we hadn't experienced in a long time with a new baby as well as a 6 year old and family visiting","Sat in a beer garden"
NA,NA,"To make human contact ost covid with an individual not seen for a long time","Yes","It was in a restaurant, I was stood up and leaving towards the exit, the wait came to talk to me and it was then the touch happened"
NA,NA,"Closeness","Because I was leaving for work and enjoy hugging my partner","Standing in the kitchen whilst making dinner."
NA,NA,"To make me feel better","It was unexpected","In bed on my arm while I was feeling ill"
NA,NA,"To greet each other","My grandchild was happy to see me","In a meeting room at a team meeting"
NA,NA,"to comfort me","Because we hugged for an extended period of time than normal and it was relaxing","in the kitchen after a deep chat"
NA,NA,"Support","It was culmination of a good moment, and as a result very positive memery","At work, sat in the staff room"
NA,NA,"To convey support and understanding","teenage son who doesn't hug often","Standing up in a local park"
