"","AlternTouch","AlternPartnr","Intention","Perception","Location"
"1","All of the above","A first date with a guy, sort of acquaintance but a stranger","Friendly","It was spontaneous and done with love","Living room"
"2","Touch on my upper arm","one night stand","To comfort me.","Being present and noticing","Sitting in the living room of my house."
"3","Touching my partner's breasts","Child at the school where I work","Affection","Yes","Standing in the kitchen leaning against the sink"
"4","Cuddle / spooning","Was actually a member of staff at one of my children's schools","To make me feel less lonely","it was sincere with a genuine pleasure in seeing me","Standing in my bedroom"
"5","hand shake that fell into a hug","customer at work","For comfort and to just ""feel"" my partner","because the young family member chose to kiss my cheek to say goodnight","We were at home and my partner was cooking, it was just a nice gesture to thank her for making a lovely meal"
"6","Hand on the waist",NA,"To communicate my sympathy for the other person.","respect","In my bedroom at home in a city."
"7","Hands around throat",NA,"Reassurance","I was sad he was making me feel better","In my lounge"
"8","punch",NA,"To show affection","Got to see each other","It occurred when I saw my friends at their house"
"9","getting slapped",NA,"To support","Part of a happy moment","My mums house"
"10","Punch to arm",NA,"Appreciate my participation","because we love each other","At the end of small group discussion  in side a hospital seminar room"
"11","Punch",NA,"Showing love","Yes","Sitting on the sofa"
"12","Being barged past in a club",NA,"Closeness","Because I had missed him","At home. Mid way through changing our baby for bed"
"13","Several body touches & kisses, hopeful attempts to initiate sexual intercourse",NA,"Happy to see each other","It was comforting and what I needed in the moment as I didn't want to talk about it","At my home, seeing my grandchild after they had been away in holiday"
"14","Leg touching",NA,"greeting after long time no see","It was healing - it brought comfort","in a shop"
"15","Touched knees",NA,"to say goodnight","It felt comforting","in bed while reading bedtime story"
"16","acupuncture",NA,"We greeting each other like this","hug from child","He works on night Im on 2-10 at shift handover we always greeting each other like this"
"17","Hand on back",NA,"Comfort and love","The way we both needed that connection, was because of a upsetting nature, the hug helped.","In the morning in the kitchen standing up"
"18","Restraining an aggressive child",NA,"Happy to see each other","Because it followed an accomplishment and the hug expressed  the conclusion of a chapter in our lives","Standing in bedroom"
"19","Headlock",NA,"Greeting","Because I welcomed the affection","In a cafe"
"20","Hand on my upper arm. Gently squeezed.",NA,"to be nice to each other","yes","at home while cooking"
"21","hand on my waist",NA,"To show love","We haven't had the time recently to just hug for a little while","On the couch in our house"
"22","push",NA,"My partner had been away for work all week so it was a nice greeting","It made me feel better when I was ill","On the driveway outside our house"
"23","Squeeze",NA,"To comfort me","We had never met before in person and it was so good to finally see each other without a screen in front of us","Standing outside the car following a disagreement"
"24","touch on arm in conversation with stranger",NA,"Comfort","because it made me feel safe","At home, sat on the end of my bed."
"25",NA,NA,"Greeting","Emotionally needed","Gŕeeting outside my house"
"26",NA,NA,"hug","It was the first time friend had reached out to me in that way","just before bed time routine"
"27",NA,NA,"Reassurance","Because it felt great","In the police station after an arrest"
"28",NA,NA,"To express joy","I felt safe and comforted by my friend's hug","In the parking lot next to our car"
"29",NA,NA,"Showing affection and flirting","Because it was a moment of peace and togetherness that we hadn't experienced in a long time with a new baby as well as a 6 year old and family visiting","Sat in a beer garden"
"30",NA,NA,"To make human contact ost covid with an individual not seen for a long time","Yes","It was in a restaurant, I was stood up and leaving towards the exit, the wait came to talk to me and it was then the touch happened"
"31",NA,NA,"Closeness","Because I was leaving for work and enjoy hugging my partner","Standing in the kitchen whilst making dinner."
"32",NA,NA,"To make me feel better","It was unexpected","In bed on my arm while I was feeling ill"
"33",NA,NA,"To greet each other","My grandchild was happy to see me","In a meeting room at a team meeting"
"34",NA,NA,"to comfort me","Because we hugged for an extended period of time than normal and it was relaxing","in the kitchen after a deep chat"
"35",NA,NA,"Support","It was culmination of a good moment, and as a result very positive memery","At work, sat in the staff room"
"36",NA,NA,"To convey support and understanding","teenage son who doesn't hug often","Standing up in a local park"
"37",NA,NA,"To be connected","it was extremely comforting to be embraced in his arms when i was feeling down","We were just laying down on the bed watching tv"
"38",NA,NA,"to comfort me, I was crying","it made me feel happy and contented","on the road, near our houses; she was walking her teenage children home, I was out for a walk during a break at work; sunny day"
"39",NA,NA,"Show affection","feeling equal","Lying in bed together falling asleep"
"40",NA,NA,"To provide comfort and reassurance","I just really needed a hug and they knew that","In the living room on the sofa"
"41",NA,NA,"To tell them I love them","yes","In the bedroom as I leave for work"
"42",NA,NA,"To ratify our love for each other","Yes","Standing at the back door of the garage looking onto the garden"
"43",NA,NA,"Greeting","Because it was with my husband","In my living room at home"
"44",NA,NA,"To say hello and welcome partner home from work","because it was good seeing each other","We were standing in our kitchen"
"45",NA,NA,"Display of affection","We were both meeting after several years","Sat with my partner in our home after a very funny moment"
"46",NA,NA,"reassurance","Because it was true friendship","sitting on the sofa"
"47",NA,NA,"a hug","I felt aroused and excited","stood in the kitchen whilst waiting for the kettle to boil"
"48",NA,NA,"to comfort","Yes","standing in the front room"
"49",NA,NA,"greeting","Because the intention worked","in a meeting"
"50",NA,NA,"To show affection","Warm have been away for a few weeks","We were both sitting on my bed"
"51",NA,NA,"show affection","Warm and loving","at home, in the kitchen"
"52",NA,NA,"Situation","I could feel the warmth","At home"
"53",NA,NA,"Comfort","It was our first physical contact for six weeks, during which time a lot of positive events had occurred in our individual lives, and both of us had been looking forward to seeing the other in the days leading up to the touch experience","In bed"
"54",NA,NA,"meeting after a long time","It came after isolating from each other because of covid","local high street"
"55",NA,NA,"Just to show the affection","was really looking forward to seein this person","standing in a park"
"56",NA,NA,"Reunion","Because it was with my mum and It felt like what I needed","Southend theme park"
"57",NA,NA,"To arouse both of us","Because it made me feel better","Lying on the bed in her bedroom"
"58",NA,NA,"Welcome","It was an expression of appreciation by a friend who hadn't seen me in a while","Inside home"
"59",NA,NA,"To relax me","Because of how it felt mentally and physically","In the kitchen, stood up, in the middle of cooking"
"60",NA,NA,"Friends","Because it felt like we were really close emotionally","A work colleague when arriving at work"
"61",NA,NA,"To demonstrate love","Because we missed each other","A room in the house"
