NR	Created	Modified		What is your Prolific ID?	Please indicate the type of touch you received by selecting the corresponding field, or by entering an alternative answer.	Other (please specify)	Who was the interaction partner in this touch experience?	Other (please specify)	Who took the initiative?	What was the (presumed) intention of the touch?	Why was the touch experience positive?	Click the picture that best describes your current relationship with the interaction partner (i.e., other).												Using your own words, give a short description of the location and situation in which the touch occurred (e.g., “sitting on a bench in the bus”):	That I was successfully completing difficult tasks and projects.	That I was experiencing new sensations and activities.	A sense of contact with people who care for me, and whom I care for.	That I was &#34;becoming who I really am.&#34;	That my life was structured and predictable.	That I was a person whose advice others seek out and follow.	That my choices were based on my true interests and values.	That I had many positive qualities.	Close and connected with other people who are important to me.	Intense physical pleasure and enjoyment.	That I got enough exercise and was in excellent physical condition.	That I was taking on and mastering hard challenges.	A sense of deeper purpose in life.	Glad that I have a comfortable set of routines and habits.	A strong sense of self-respect.	That I strongly influenced others&#39; beliefs and behavior.	That my body was getting just what it needed.	Free to do things my own way.	Quite satisfied with who I am.	That I had found new sources and types of stimulation for myself.	Safe from threats and uncertainties.	A strong sense of physical well-being.	Very capable in what I did.	That my choices expressed my &#34;true self.&#34;	A deeper understanding of myself and my place in the universe.	That I had strong impact on what other people did.	A strong sense of intimacy with the people I spent time with.	Interested	Distressed	Excited	Upset	Strong	Guilty	Scared	Hostile	Enthusiastic	Proud	Irritable	Alert	Ashamed	Inspired	Nervous	Determined	Attentive	Jittery	Active	Afraid	Age:	Gender:	Gender (if you prefer to type):	Elapsed time
19669817	14.03.2022 14:14	14.03.2022 14:14	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ea6ef8490aeb308aa49a8be	Hug		Family member		We both took the initiative	Friendly		....	4	5	4	4	5	3	9			Not applicable		Living room	Not at all	Not at all	Quite a bit	Not at all	Not at all	A little	Quite a bit	Quite a bit	Quite a bit	Not at all	Not at all	Not at all	Not at all	Moderately	Moderately	A little	A little	A little	A little	Not at all	A little	A little	A little	A little	Not at all	Not at all	Not at all	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	36	Female		4 minutes 27 seconds
19669841	14.03.2022 14:15	14.03.2022 14:15	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	578915184a84da00014c433e	Hug		Partner		The interaction partner mainly took the initiative	To comfort me.		......	9	9	10	8	2	1	10	Not applicable	0			Sitting in the living room of my house.	Not at all	A little	Very much	Not at all	Not at all	Not at all	A little	Not at all	A little	Very much	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Quite a bit	A little	Not at all	Not at all	Quite a bit	Moderately	Not at all	Not at all	Not at all	Not at all	Quite a bit	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	A little (2)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Extremely (5)	Not at all (1)	Moderately (3)	36	Female		3 minutes 8 seconds
19670115	14.03.2022 14:19	14.03.2022 14:19	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	586e8900156b0100017864c5	Hug		Family member		The interaction partner mainly took the initiative	Affection		......	8	10	10	10	7	1	10	Not applicable	3			Standing in the kitchen leaning against the sink	Quite a bit	A little	Very much	Quite a bit	Moderately	Quite a bit	Moderately	Very much	Very much	A little	A little	Not at all	Very much	Quite a bit	Very much	Quite a bit	Very much	Quite a bit	Very much	Not at all	Very much	Very much	Quite a bit	Quite a bit	Very much	Very much	Very much	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Extremely (5)	Not at all (1)	A little (2)	Not at all (1)	50	Female		8 minutes 46 seconds
19670164	14.03.2022 14:22	14.03.2022 14:22	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f049a2e0329ec725be5df68	Hug		Family member		The interaction partner mainly took the initiative	To make me feel less lonely		......	8	8	8	9	3	2	9	Not applicable		Not applicable		Standing in my bedroom	Quite a bit	Quite a bit	Very much	A little	A little	Moderately	Quite a bit	Quite a bit	Very much	Quite a bit	Not at all	Quite a bit	A little	A little	Quite a bit	A little	Very much	Moderately	Moderately	A little	Quite a bit	Moderately	Quite a bit	A little	Moderately	Quite a bit	Quite a bit	A little (2)	Not at all (1)	Quite a bit (4)	A little (2)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	A little (2)	Moderately (3)	A little (2)	A little (2)	Moderately (3)	A little (2)	A little (2)	A little (2)	Not at all (1)	21	Female		10 minutes 1 second
19670268	14.03.2022 14:27	14.03.2022 14:27	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f8feb7e455ffe000b23a76a	Hug		Partner		We both took the initiative	"For comfort and to just ""feel"" my partner"		......	7	10	6	10	1	1	5		7			We were at home and my partner was cooking, it was just a nice gesture to thank her for making a lovely meal	Not at all	Quite a bit	Very much	Moderately	Moderately	Moderately	Very much	Moderately	Very much	Quite a bit	Moderately	Very much	Very much	Moderately	Quite a bit	Quite a bit	Moderately	Very much	Moderately	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Quite a bit (4)	A little (2)	Moderately (3)	Not at all (1)	Extremely (5)	A little (2)	Extremely (5)	Extremely (5)	A little (2)	Extremely (5)	Not at all (1)	25	Male	Male	14 minutes
19670422	14.03.2022 14:32	14.03.2022 14:32	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5eef9a35dc23a40a1cfc9c35	Hug		Family member		I mainly took the initiative	To communicate my sympathy for the other person.		.....	7	8	6	9	7	2	6	Not applicable	6			In my bedroom at home in a city.	Quite a bit	A little	Very much	Not at all	Moderately	Very much	Very much	Quite a bit	Very much	Moderately	Quite a bit	A little	Quite a bit	Moderately	Quite a bit	Quite a bit	Very much	Quite a bit	Quite a bit	A little	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Very much	Quite a bit	Extremely (5)	A little (2)	Not at all (1)	A little (2)	Quite a bit (4)	A little (2)	A little (2)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Extremely (5)	Not at all (1)	A little (2)	A little (2)	Quite a bit (4)	Extremely (5)	Not at all (1)	Quite a bit (4)	A little (2)	20	Female		5 minutes 54 seconds
19670423	14.03.2022 14:32	14.03.2022 14:32	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	58da917848a0550001171f1d	Hug		Partner		The interaction partner mainly took the initiative	Reassurance		......	10	10	10	10	1	1	5	Not applicable	3			In my lounge	Not at all	A little	Very much	Not at all	Not at all	Not at all	Not at all	Moderately	Very much	Very much	Not at all	Moderately	A little	Moderately	Not at all	A little	Very much	A little	A little	Not at all	Very much	Very much	Quite a bit	Quite a bit	Not at all	Not at all	Very much	A little (2)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Moderately (3)	A little (2)	A little (2)	28	Male		8 minutes 21 seconds
19670591	14.03.2022 14:38	14.03.2022 14:38	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6157a1983eef623a0b771d6f	Hug		Friend		We both took the initiative	To show affection		....	7	8	7	9	5	1	6	Not applicable	3			It occurred when I saw my friends at their house	Moderately	A little	Quite a bit	Moderately	Not at all	Moderately	Quite a bit	Moderately	Moderately	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	A little	A little	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	24	Male		10 minutes 35 seconds
19670639	14.03.2022 14:40	14.03.2022 14:40	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	58f264e495e14800013061b7	Hug		Family member		The interaction partner mainly took the initiative	To support		......	7	8	4	7	6	2	5	Not applicable	5	Not applicable		My mums house	Quite a bit	A little	Very much	Moderately	A little	A little	Moderately	Moderately	Quite a bit	A little	A little	Moderately	A little	A little	Moderately	A little	Quite a bit	Moderately	Moderately	A little	Quite a bit	Moderately	Moderately	Moderately	Not at all	A little	Quite a bit	Quite a bit (4)	A little (2)	A little (2)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	A little (2)	Moderately (3)	Extremely (5)	A little (2)	Moderately (3)	A little (2)	28	Female		7 minutes 5 seconds
19670950	14.03.2022 14:55	14.03.2022 14:55	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6115a5048966badceb7f00da	Handshake		Colleague		The interaction partner mainly took the initiative	Appreciate my participation		..	7	9	9	8	5	4	8		6			At the end of small group discussion  in side a hospital seminar room	Quite a bit	Quite a bit	Quite a bit	Moderately	A little	Moderately	Quite a bit	Very much	Very much	Not at all	A little	Moderately	Moderately	Moderately	Very much	Quite a bit	A little	A little	Quite a bit	Moderately	A little	Not at all	A little	Moderately	A little	Quite a bit	A little	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Extremely (5)	Moderately (3)	Moderately (3)	Moderately (3)	A little (2)	Moderately (3)	A little (2)	42	Male	Male	12 minutes 44 seconds
