NR	Created	Modified		What is your Prolific ID?	Please indicate the type of touch you received by selecting the corresponding field, or by entering an alternative answer.	Other (please specify)	Who was the interaction partner in this touch experience?	Other (please specify)	Who took the initiative?	What was the (presumed) intention of the touch?	Why was the touch experience negative?	Click the picture that best describes your current relationship with the interaction partner (i.e., other).												Using your own words, give a short description of the location and situation in which the touch occurred (e.g., “sitting on a bench in the bus”):	That I was successfully completing difficult tasks and projects.	That I was experiencing new sensations and activities.	A sense of contact with people who care for me, and whom I care for.	That I was &#34;becoming who I really am.&#34;	That my life was structured and predictable.	That I was a person whose advice others seek out and follow.	That my choices were based on my true interests and values.	That I had many positive qualities.	Close and connected with other people who are important to me.	Intense physical pleasure and enjoyment.	That I got enough exercise and was in excellent physical condition.	That I was taking on and mastering hard challenges.	A sense of deeper purpose in life.	Glad that I have a comfortable set of routines and habits.	A strong sense of self-respect.	That I strongly influenced others&#39; beliefs and behavior.	That my body was getting just what it needed.	Free to do things my own way.	Quite satisfied with who I am.	That I had found new sources and types of stimulation for myself.	Safe from threats and uncertainties.	A strong sense of physical well-being.	Very capable in what I did.	That my choices expressed my &#34;true self.&#34;	A deeper understanding of myself and my place in the universe.	That I had strong impact on what other people did.	A strong sense of intimacy with the people I spent time with.	Interested	Distressed	Excited	Upset	Strong	Guilty	Scared	Hostile	Enthusiastic	Proud	Irritable	Alert	Ashamed	Inspired	Nervous	Determined	Attentive	Jittery	Active	Afraid	Age:	Gender:	Gender (if you prefer to type):	Elapsed time
19671442	14.03.2022 15:25	14.03.2022 15:25	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60b1d959135eaafaa49c2672	Handshake		Stranger		The interaction partner mainly took the initiative	Greeting		.	3	2	8	1	9	8	8		8			Walking down street	Moderately	Moderately	Not at all	Not at all	A little	Not at all	A little	Moderately	Moderately	Not at all	Moderately	Not at all	Not at all	Not at all	Moderately	A little	A little	A little	Moderately	Not at all	Moderately	Moderately	Quite a bit	Moderately	Moderately	A little	A little	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	A little (2)	37	Female		4 minutes 29 seconds
19671448	14.03.2022 15:25	14.03.2022 15:25	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60fd1e268d9fcbe02e29ab6c	Hand on the shoulder		Acquaintance		The interaction partner mainly took the initiative	greeting		.	6	4	5	1	1	10	5		0	Not applicable		at work	Quite a bit	Not at all	Not at all	Not at all	Moderately	Very much	Very much	Very much	A little	Not at all	Moderately	Quite a bit	A little	Quite a bit	Quite a bit	Moderately	Not at all	Moderately	Quite a bit	A little	Quite a bit	Moderately	A little	A little	A little	A little	A little	A little (2)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	26	Female		8 minutes 58 seconds
19671534	14.03.2022 15:30	14.03.2022 15:30	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ccdc8af8866b10015fff794	Hug		Partner		I mainly took the initiative	Before sleep hug (but it felt awkward)		...	7	5	4	2	10	1	8	Not applicable	8			In bed	A little	A little	Moderately	Not at all	A little	Moderately	A little	Not at all	A little	Not at all	Not at all	A little	Not at all	A little	Not at all	A little	Not at all	Not at all	A little	A little	Not at all	Not at all	Not at all	Not at all	Not at all	A little	A little	A little (2)	A little (2)	A little (2)	Moderately (3)	Not at all (1)	A little (2)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Quite a bit (4)	Moderately (3)	Not at all (1)	Extremely (5)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	26	Female		9 minutes 6 seconds
19671595	14.03.2022 15:34	14.03.2022 15:34	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60a7eca1b6a96f424274a25a	Hand on the shoulder		Acquaintance		The interaction partner mainly took the initiative	It was designed to indicate familiarity and also recognition.		..	3	3	10	4	9	5	8		9			The situation took place at a meal out in a local restaurant. The situation took place while I was chatting to another member of the party.	Moderately	Quite a bit	Moderately	Not at all	Quite a bit	Not at all	Moderately	Very much	Very much	A little	Quite a bit	Quite a bit	Very much	Quite a bit	Quite a bit	A little	Quite a bit	Quite a bit	Quite a bit	Very much	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Very much	Quite a bit	Very much	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	22	Male		5 minutes 7 seconds
19671715	14.03.2022 15:41	14.03.2022 15:41	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5eeb3200bde1302840ade44a	Handshake		Colleague		I mainly took the initiative	Greeting		..	3	5	3	3	8	3	4	Not applicable	2			a meeting at work, in a formal setting. As we were at the beginning of the meeting and chatting to colleagues, i approached someone who i had never met, said my name and offered my hand out to shake. The person then took the ends of my fingers and shook those rather than the hole hand.	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Moderately	A little	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Moderately	Moderately	A little	Moderately	Moderately	Moderately	Quite a bit	Not at all	Not at all	Moderately	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	36	Male		7 minutes 40 seconds
19671806	14.03.2022 15:47	14.03.2022 15:47	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	604a5a451dc118c74850eb82	Kiss		Partner		We both took the initiative	Affection		..	5	6	6	5	8	8	8		7			In bed	A little	Moderately	Moderately	Moderately	A little	A little	Moderately	Moderately	A little	A little	Not at all	A little	A little	A little	A little	Not at all	Not at all	Not at all	A little	Not at all	Moderately	Not at all	Not at all	Quite a bit	A little	Not at all	A little	A little (2)	Moderately (3)	A little (2)	Moderately (3)	Not at all (1)	Moderately (3)	Moderately (3)	A little (2)	A little (2)	Not at all (1)	Moderately (3)	A little (2)	Moderately (3)	Not at all (1)	Quite a bit (4)	A little (2)	Moderately (3)	Quite a bit (4)	A little (2)	Quite a bit (4)	53	Male		9 minutes 34 seconds
19673580	14.03.2022 16:47	14.03.2022 16:47	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60782c4efacc881eec2f696d		Hand on the waist	Colleague		The interaction partner mainly took the initiative	To help tie up my apron		.	5	1	7	1	7	10	10		6			Standing behind the coffee counter at work	A little	Moderately	Not at all	Not at all	A little	Moderately	A little	Quite a bit	Moderately	A little	Moderately	Moderately	A little	Moderately	A little	A little	A little	Moderately	Quite a bit	Moderately	A little	Moderately	Moderately	A little	Moderately	Moderately	Moderately	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Moderately (3)	Extremely (5)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	19	Female		4 minutes 29 seconds
19673613	14.03.2022 16:50	14.03.2022 16:50	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	57a2319b4d107800016ddccc		Hands around throat	Stranger		The interaction partner mainly took the initiative	To cause harm		...	2	1	9	1	6	10	9		9			On a mental health ward from a patient to a member of staff.	A little	Moderately	A little	Not at all	A little	A little	A little	A little	Not at all	Not at all	A little	Moderately	A little	Not at all	A little	A little	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Moderately	Not at all	Not at all	Not at all	Not at all	A little (2)	Moderately (3)	Not at all (1)	Moderately (3)	Moderately (3)	A little (2)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Moderately (3)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Moderately (3)	A little (2)	Moderately (3)	36	Female		4 minutes 23 seconds
19673673	14.03.2022 16:55	14.03.2022 16:55	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5d5fc2010740150018a0291e	Handshake		Stranger		The interaction partner mainly took the initiative	Greeting		.	3	3	6	3	7	4	5		7			During interview	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little (2)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	23	Male		9 minutes 6 seconds
19678659	14.03.2022 21:31	14.03.2022 21:31	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6148d526884d99b02166443e	Caress		Stranger		The interaction partner mainly took the initiative	To show that they had a romantic interest in me		.	7	1	6	1	5	10	10	Not applicable	2			I was at a bar and a stranger came up to me and kept trying to talk to me, even though I informed in that I wasn’t interested as I had a partner he kept trying and then reached for my arm and started to kind of stroke it	Not at all	Moderately	Not at all	Not at all	Quite a bit	Moderately	Quite a bit	Very much	Very much	Not at all	Moderately	Not at all	Not at all	Very much	Very much	Moderately	Not at all	Quite a bit	Very much	Not at all	A little	Not at all	Very much	Quite a bit	Moderately	Very much	Not at all	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	26	Male		8 minutes 1 second
